YEAR_MONTH;PRICE
20200201;5609.6810350
20200301;4855.6975750
20200401;5059.6258500
20200501;5410.1620200
20200601;6063.8348150
20200701;6304.1394850
20200801;6763.8048400
20200901;6695.4613100
20201001;6725.2238150
20201101;7674.3170300
20201201;7755.8883400
20210101;7891.4730850
20210201;9134.8844050
20210301;8741.3579500
20210401;9823.8312800
20210501;10331.9984950
20210601;9407.1562100
20210701;9869.0261950
20210801;9538.3316950
20210901;8964.0255800
20211001;9667.3025500
20211101;9562.5826250
20211201;9827.1382250
20220101;9569.1965150
20220201;9938.4720400
20220301;10361.7610000
20220401;9673.9164400
20220501;9413.7701000
20220601;7970.8397650
20220701;7840.7665950
20220801;7825.3341850
